"市町村","タイトル","所在地","緯度","経度","写真1","写真2","写真3","写真4","写真5","写真6","写真7","写真8","写真9","写真10","連絡先","分類","災害種別","備考"
"","北小松島小学校","中田町字浜田33","34.015593","134.586588","","","","","","","","","","","0885-32-0342","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","勤労青少年ホーム","南小松島町1-16","34.005774","134.591183","","","","","","","","","","","0885-33-3283","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","小松島中学校","日開野町字弥三次3-1","34.002741","134.576812","","","","","","","","","","","0885-32-2044","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","南小松島小学校","小松島町字高須36","34.005116","134.585502","","","","","","","","","","","0885-32-0149","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","小松島小学校","神田瀬町2-63","34.010106","134.58061","","","","","","","","","","","0885-32-0128","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","小松島厚生福祉解放センター","中郷町字加藤18-1","34.007922","134.571635","","","","","","","","","","","0885-32-2122","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","みやま園","立江町字黒岩1番地の8","33.9742417192843","134.603351533415","","","","","","","","","","","0885-37-0771","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
"","東谷集会所","櫛渕町字油免","33.959017","134.593321","","","","","","","","","","","","指定避難所（法定外）","",""
"","青向集会所","立江町字南山192-1","33.953486","134.605667","","","","","","","","","","","","指定避難所（法定外）","",""
"","立江寺","立江町字若松13","33.967851","134.60578","","","","","","","","","","","0885-37-1019","指定避難所（法定外）","",""
"","神山町養護老人ホーム泉寿園","神山町神領字西上角127","33.974259","134.366122","","","","","","","","","","","088-676-0255","指定避難所（法指定）,福祉避難所（法指定）","","入所者優先"
"","阿川小学校","神山町阿野字地ノ平132-2","34.0058004632971","134.355800496796","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震",""
"","広野小学校","神山町阿野字広野22","34.0300814596708","134.403780642893","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震",""
"","上分小学校西側校舎","神山町上分字川又西158","33.9600086620845","134.277499679723","","","","","","","","","","","088-676-1522","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震","西校舎のみ耐震性あり"
"","社会福祉協議会","神山町神領字本上角９３－１","33.9725044843091","134.370285216702","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","旧広野小学校","神山町阿野字広野42","34.0287730598794","134.403462101847","","","","","","","","","","","088-678-0806","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震","生徒がいる場合は生徒優先"
"","岩脇こどもセンター","阿南市羽ノ浦町岩脇神代地８５－１","33.9497856046016","134.618396900478","","","","","","","","","","","","指定避難所（法指定）","",""
"","阿南中学校","阿南市見能林町南勘高1","33.905257","134.664831","","","","","","","","","","","0884-22-0539","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","蒲生田小学校(休校中)　","阿南市椿町蒲生田2","33.836028","134.73819","","","","","","","","","","","0884-33-0811","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","校舎（休校中）"
"","新野西小学校(休校中)","阿南市新野町友常1","33.838612","134.541857","","","","","","","","","","","0884-36-2107","指定避難所（法指定）","",""
"","那賀川中学校","阿南市那賀川町苅屋370-1","33.949746","134.661838","","","","","","","","","","","0884-42-0058","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","まぜのおか体育館","浅川字西福良43","33.622197","134.36971","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,津波,大規模な火事,内水氾濫",""
"","県立吉野川高校","吉野川市鴨島町喜来681-9","34.078681","134.363562","","","","","","","","","","","0883-24-2117","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","県立川島中学・高校","吉野川市川島町桑村367番地3","34.059299","134.325167","","","","","","","","","","","0883-25-2824","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","小松島公民館","神田瀬町2","34.00987","134.581302","","","","","","","","","","","0885-32-2700","指定避難所（法指定）","",""
"","徳島学院　","大麻町板東字広塚35","34.1740484280777","134.506889283669","","","","","","","","","","","","指定避難所（法指定）,福祉避難所（法指定）","","家族宿泊訓練施設10名"
"","里浦南防災センター","里浦町里浦字恵美寿5-6","34.1500988782319","134.613917469989","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,地震,津波,内水氾濫",""
"","トリーデなると","鳴門市撫養町林崎字北殿町149","34.177854","134.618668","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","地震","避難所"
"","鳴門渦潮高等学校（体育館）","鳴門市大津町吉永595","34.1646148343313","134.601219777769","","","","","","","","","","","088-686-4565","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,津波","津波避難場所　（体育館２Ｆ）
避難所（体育館１Ｆ）"
"","半田中学校","徳島県美馬郡つるぎ町半田字田井282","34.0309137735675","134.02980596684","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法定外）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","出羽島漁村センター","牟岐町大字牟岐浦字出羽島4-1","33.6367503381272","134.424596067468","","","","","","","","","","","0884-72-0564","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","江原南小学校","美馬市脇町字拝原829","34.072857","134.172024","","","","","","","","","","","0883-52-1189","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","海陽町役場　宍喰庁舎","久保字久保49","33.567139","134.303128","","","","","","","","","","","","指定避難所（法定外）","",""
"","ばんそうS&S","海部郡美波町北河内字本村３４４-１","33.745603","134.531807","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","健康センター","那賀町延野字王子原31番地1","33.820391","134.478546","","","","","","","","","","","","指定避難所（法定外）","",""
"","小松コミュニティセンター","牟岐町大字辺川字小松692","33.6923692408781","134.435169136243","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","撫佐集会所","鳴門市瀬戸町撫佐字本村62-2","34.2338901005503","134.609954122979","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,内水氾濫","避難所"
"","椎尾谷集会所","鳴門市大麻町桧字椎尾谷35-2","34.1682139408122","134.493912321846","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫","避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○"
"","藍里病院","板野郡上板町佐藤塚字東288番地３","34.115218428876","134.45415051655","","","","","","","","","","","088-672-5980","指定緊急避難場所（法指定）,指定避難所（法指定）,福祉避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","内町小学校","徳島市徳島町城内1番地の15","34.076532","134.550859","","","","","","","","","","","","指定避難所（法指定）","",""
"","松茂町総合体育館","松茂町中喜来字群恵225-3","34.142121","134.588399","","","","","","","","","","","088-699-8719","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,津波",""
"","段関集会所","鳴門市大津町段関字西53-2、53-3","34.1614751516112","134.564385546321","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,地震,内水氾濫","避難所 ※洪水の緊急避難場所　新池川○　旧吉野川○"
"","高島団地集会所","鳴門市鳴門町高島字北384","34.2067886906551","134.594131938654","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,高潮,地震,内水氾濫","避難所"
"","芦余台集会所","鳴門市撫養町木津62-1","34.1735715618032","134.582004355806","","","","","","","","","","","088-684-1330","指定避難所（法指定）","","避難所"
"","斎田公民館","鳴門市撫養町斎田字岩崎145","34.1775282988369","134.600729594472","","","","","","","","","","","088-686-8807","指定避難所（法指定）","","避難所"
"","堀江公民館","鳴門市大麻町大谷字道の上24","34.161532","134.540036","","","","","","","","","","","088-686-8807","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,内水氾濫","避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○"
"","板東南ふれあいセンター（旧川崎幼稚園）庁舎","鳴門市大麻町川崎394","34.142258684504","134.520645846552","","","","","","","","","","","088-686-8801","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","津波避難ビル　※洪水の緊急避難場所　旧吉野川○　吉野川○"
"","瀬戸中学校（体育館）","鳴門市瀬戸町堂浦字地廻り壱96-4","34.21501077","134.5842854","","","","","","","","","","","088-688-0033","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,内水氾濫","避難所（体育館、柔道場・２階剣道場）"
"","大麻中学校（体育館）","鳴門市大麻町池谷字長田105","34.157592","134.528672","","","","","","","","","","","088-689-0230","指定避難所（法指定）","","避難所（体育館・柔道場・剣道場）"
"","鳴門中学校（体育館）","鳴門市鳴門町三ツ石字芙蓉山下251","34.2028890431008","134.609856642852","","","","","","","","","","","088-687-1153","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,高潮,地震,内水氾濫","避難所（体育館・柔道場・剣道場）"
"","第二中学校（体育館）","鳴門市撫養町立岩字内田150","34.1772155","134.6218354","","","","","","","","","","","088-685-7911","指定緊急避難場所（法指定）,指定避難所（法指定）","地震","避難所（体育館・１階剣道場・２階柔道場）"
"","坂野体育館（旧坂野中学校）","坂野町字根上り37","33.982193","134.631808","","","","","","","","","","","0885-38-1788","指定避難所（法指定）","",""
"","立江体育館（旧立江中学校）","立江町字鍋寺36","33.963339","134.59935","","","","","","","","","","","0885-38-1788","指定避難所（法指定）","",""
"","小松島南中学校","立江町字赤石78-2","33.9786127041869","134.606491684934","","","","","","","","","","","0885-38-6612","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","坂根小学校・体育館","半田字坂根３４６番地","33.989817","134.037076","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","下喜来老人憩の家","半田字下喜来８１番地６","33.991129","134.016166","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","東久保老人憩の家","半田字東久保４１９番地１","34.025948","134.030977","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","半田公民館","半田字木ノ内１３６番地１","34.031381","134.031835","","","","","","","","","","","0883-64-3111","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,大規模な火事,内水氾濫",""
"","小野老人憩の家","半田字小野２６６番地","34.041165","134.031213","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","伊良原地区集会所","一宇字伊良原１２３番地","33.935416","134.067031","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","剪宇ふれあいサロン","一宇字剪宇１２７番地","33.952589","134.086166","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","赤松地区集会所","一宇字赤松７６４番地","33.956585","134.058566","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,大規模な火事,内水氾濫",""
"","西崎住民憩の家","半田字中薮９１番地５","34.042201","134.047735","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,大規模な火事,内水氾濫",""
"","長瀬集会所","貞光字長瀬１９６番地","34.000891","134.084015","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,大規模な火事,内水氾濫",""
"","ラ・フォーレつるぎ山","一宇字葛籠６１９８番地２","33.873471","134.076628","","","","","","","","","","","0883-62-3111","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","錦谷小学校","一宇字川又９５５番地１","33.905382","134.079026","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","逢坂老人憩の家","半田字逢坂１４番地１","34.035395","134.032999","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,大規模な火事,内水氾濫",""
"","引地集会所","貞光字引地１５１番地","34.019612","134.061659","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","浦山集会所","貞光字浦山４２４番地３","34.021706","134.058968","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","柴内小学校","貞光字柴内３２８番地２","34.033132","134.080658","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","木綿麻会館","貞光字岡８２番地","34.022324","134.065701","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事",""
"","貞光小学校・体育館","貞光字野口８７番地","34.037075","134.059757","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法定外）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","貞光幼稚園","貞光字野口６６番地","34.035653","134.060444","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法定外）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","コミュニティーセンター八幡会館","貞光字前田４５－１","34.030794","134.063056","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","貞光農業構造改善センター","貞光字東浦１番地３","34.036982","134.06405","","","","","","","","","","","0883-62-3111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","テクノスクール","貞光字東浦１２８番地４","34.032114","134.06378","","","","","","","","","","","0883-62-3067","指定緊急避難場所（法指定）,指定避難所（法定外）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","貞光ゆうゆう館","貞光字大須賀１１番地１","34.042632","134.060057","","","","","","","","","","","0883-62-5000","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","貞光中学校","貞光字中須賀５２番地","34.037591","134.064885","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法定外）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","海部老人ホーム","牟岐町大字中村字清水120","33.675363429268","134.417189898151","","","","","","","","","","","0884-72-0209","指定緊急避難場所（法指定）,指定避難所（法指定）,福祉避難所（法指定）","津波",""
"","町民体育館","牟岐町大字川長字大坪177","33.6720128389932","134.425794934855","","","","","","","","","","","0884-72-0107","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,津波,大規模な火事",""
"","牟岐町役場","牟岐町大字中村字本村7-4","33.6682245267051","134.420712737433","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,大規模な火事",""
"","川内中学校","徳島市川内町竹須賀151番地","34.107914","134.574366","","","","","","","","","","","","指定避難所（法指定）","",""
"","明善会館","徳島市八万町寺山172番地の1","34.040249","134.515759","","","","","","","","","","","","指定避難所（法定外）","",""
"","特別擁護老人ホームヒワサ荘","美波町西河内字丹前99","33.733349","134.518583","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","特別擁護老人ホームねんりん","美波町西の地字大谷12","33.778364","134.589997","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）,福祉避難所（法定外）","津波",""
"","富田小学校","徳島市中央通3丁目15番地","34.062392","134.553401","","","","","","","","","","","","指定避難所（法指定）","",""
"","日和佐中学校","徳島県海部郡美波町西河内字大久保７６-１","33.738624","134.531367","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）","津波",""
"","深瀬集会所","海部郡美波町北河内字北分１５８","33.762094","134.524312","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）","洪水,崖崩れ等,高潮,地震,津波,大規模な火事,内水氾濫",""
"","日和佐小学校","海部郡美波町奥河内字","33.735457","134.536471","","","","","","","","","","","","指定避難所（法定外）","",""
"","十二社神社社務所","美波町北河内字久望251","33.782624","134.53473","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）","津波",""
"","荘厳寺","美波町志和岐字天王68-3","33.78145","134.607416","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）","津波",""
"","海部郡特別養護老人ホーム海南荘","大里字松原３３－３","33.608344","134.366079","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者等の一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。"
"","古宮生活改善センター","美馬市穴吹町古宮字長尾559-1","33.96534","134.135039","","","","","","","","","","","0883-52-1212","指定避難所（法指定）","",""
"","下分保育所","神山町下分字西寺16-1","33.962156","134.313059","","","","","","","","","","","088-677-0222","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震","児童がいる場合は児童優先"
"","有誠園","石井町石井字城ノ内５６３","34.06119687","134.4282387","","","","","","","","","","","088-674-7200","指定避難所（法定外）,福祉避難所（法定外）","",""
"","デイセンター上総介","石井町石井字重松208-1","34.07024457","134.4352982","","","","","","","","","","","088-679-7777","指定避難所（法定外）,福祉避難所（法定外）","",""
"","グループホーム濃姫","名西郡石井町石井字重松208-1","34.07028723","134.4352982","","","","","","","","","","","088-679-7778","指定避難所（法定外）,福祉避難所（法定外）","",""
"","れもん","名西郡石井町石井字白鳥７３－１","34.07291141","134.4613478","","","","","","","","","","","088-674-1333","指定避難所（法定外）,福祉避難所（法定外）","",""
"","高川原福祉会館・公会堂","石井町高川原字高川原６６６－１","34.07346134","134.4447469","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","公民館高川原分館","石井町高川原字高川原１２７６","34.076705","134.449367","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","石井町老人憩いの家","石井町藍畑字高畑１３３２－１","34.094601","134.438935","","","","","","","","","","","088-674-6111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","徳島県立農林水産総合技術センター","石井町石井字石井１６６０","34.062544","134.452698","","","","","","","","","","","088-674-1026","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","高原小学校","石井町高原字東高原２５０－1","34.083623","134.421276","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","公民館浦庄分館","石井町浦庄字下浦６０２－１","34.067061","134.419989","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","浦庄小学校","石井町浦庄字下浦４７５－１","34.066485","134.41625","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","石井町地域防災交流センター","石井町石井字石井３６５－１","34.070842","134.446408","","","","","","","","","","","088-674-1171","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","名西高校","石井町石井字石井２１－１１","34.072548","134.440614","","","","","","","","","","","088-674-2151","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","前山公園屋内運動場（体育館）","石井町石井字城ノ内９２３","34.0578968269055","134.43519802573","","","","","","","","","","","088-674-1117","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,大規模な火事,内水氾濫",""
"","尼寺教育センター","石井町石井字尼寺５３－１","34.068938","134.467402","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","公民館石井分館","石井町石井字石井４３１－１","34.069009","134.443372","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","石井町中央公民館","石井町石井字石井４８０－１","34.067954","134.446515","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","石井町保健センター","石井町石井字石井３８０－１１","34.070076","134.445405","","","","","","","","","","","088-674-0001","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","石井小学校","石井町石井字石井１１８４－１","34.065732","134.444139","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","藍畑小学校","石井町藍畑字東覚円６７０","34.097795","134.440459","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","石井中学校","石井町高川原字高川原１２５－１","34.074473","134.439373","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","芝田多目的センター","芝生町字西居屋敷107-3","33.995254","134.580199","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,内水氾濫",""
"","ひのみね支援学校","中田町字新開4-1","34.015642","134.582815","","","","","","","","","","","0885-32-7847","指定避難所（法定外）","",""
"","高浦中学校","石井町浦庄字国実１００","34.07639","134.42075","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","グループホーム青空","中田町字新開52","34.013698","134.582884","","","","","","","","","","","0885-35-1355","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
"","目佐老人ルーム","坂野町字目佐83-1","33.967364","134.634077","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等",""
"","久尾公民館","久尾字久尾７７－３","33.594896","134.214985","","","","","","","","","","","","指定避難所（法定外）","",""
"","老人保健施設　ジャンボ緑風会","久保字板取243-310","33.576464","134.306778","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者等の一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。"
"","公民館高原分館","石井町高原字東高原２２３－１","34.084023","134.421769","","","","","","","","","","","088-674-7505","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","小松島老人憩の家(芝田公民館)","田野町字月ノ輪78-6","33.987006","134.585513","","","","","","","","","","","0885-32-2700","指定避難所（法指定）","",""
"","養護老人ホーム 松寿園","日開野町字加々ミ松91-1","34.004634","134.568953","","","","","","","","","","","0885-32-0100","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
"","老人保健施設ライフ慈友館","赤石町13-24","33.979331","134.611026","","","","","","","","","","","0885-38-1700","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
